Number,	Size,	Chunk Offset,	File,	SHA-256 Hash
58,	2000 B,	1652688,	Pizigani_1367_Chart_1MB (1).jpg,	8cba8b90a761e50457798bbabd617d92202b6c7165461dcd0b2458beda892eb0
59,	2000 B,	1654688,	Pizigani_1367_Chart_1MB (1).jpg,	8ae30b57728defd20d2c8db12dbfa27b8ec2db0cb58b93f8485d206838cae5c8
60,	2000 B,	1656688,	Pizigani_1367_Chart_1MB (1).jpg,	cbaa0d11bd60e7d8d6a483e21ace53cad0f7fae75e44d8df7d08560607ea7e08
61,	2000 B,	1658688,	Pizigani_1367_Chart_1MB (1).jpg,	cacf7e862464ccc763c5445d339771a76e34d3d7986a6a0ebefe2ca0bcd986dc
62,	2000 B,	1660688,	Pizigani_1367_Chart_1MB (1).jpg,	3d9271705dc72b916ca6e73967ae78905f9c3b7b4deaa977c7812b397d693c90
63,	2000 B,	1662688,	Pizigani_1367_Chart_1MB (1).jpg,	04eedbd3956343cf726a08af0cfd57e08b10b859681a74cb65b5d5b46eacf1c9
64,	2000 B,	1664688,	Pizigani_1367_Chart_1MB (1).jpg,	c55f3c220355572e2d09c64b6e87f6e8a3b69f9dfe3d0dca4c0286a8dcc6eb71
65,	2000 B,	1666688,	Pizigani_1367_Chart_1MB (1).jpg,	34d87b5d54f8be0bf242ed1d3bbb073c908e722c20e04cf4b86ed18b93b4a5e6
66,	2000 B,	1668688,	Pizigani_1367_Chart_1MB (1).jpg,	0366a351f61f264bfb11540e7a141a65b869a2a5d0d94cbf83e7f92bacb86c3f
67,	2000 B,	1670688,	Pizigani_1367_Chart_1MB (1).jpg,	f9c048426e5908d9765b87c946abee4e608373170a23e3e01f0d98861d749356
68,	2000 B,	1672688,	Pizigani_1367_Chart_1MB (1).jpg,	c43d88ee517e38c4bbe98394a830e030758d3b6dae9095f410699c8539f1d0c8
69,	2000 B,	1674688,	Pizigani_1367_Chart_1MB (1).jpg,	8d313f5b0521c9387838ab8b94f715ce69369b364f5005ea0aeed8b8616f1bf0
70,	2000 B,	1676688,	Pizigani_1367_Chart_1MB (1).jpg,	21145881209b46f8a13534417afaec97ee86a66d86762c548ac2ec11349669a1
71,	2000 B,	1678688,	Pizigani_1367_Chart_1MB (1).jpg,	4c24add7400d36e82fa7847500f398d2179df76ea64821e1ab81545222efcd54
72,	2000 B,	1680688,	Pizigani_1367_Chart_1MB (1).jpg,	38f11b6c4471fcbc635fb2e6a151b1816bf190085132e7f4f549062edb8ffa02
73,	2000 B,	1682688,	Pizigani_1367_Chart_1MB (1).jpg,	06d1bd7dcd1b39680e9ebefb0f379ddda5468868db2acc0037e8be60c865e1df
74,	2000 B,	1684688,	Pizigani_1367_Chart_1MB (1).jpg,	97001fa426ab95995b8806a014801916c3debed37811d0aa4faf145c68517f8b
75,	2000 B,	1686688,	Pizigani_1367_Chart_1MB (1).jpg,	eb02f3908268ebfc1451ea1e15618d7dd29f04a6a2997cd59872976e8a08125a
76,	2000 B,	1688688,	Pizigani_1367_Chart_1MB (1).jpg,	604c79e4f7213cf241d6a75900449878fa89b4ae113893cfcbfee373f730fe6d
77,	2000 B,	1690688,	Pizigani_1367_Chart_1MB (1).jpg,	5a6b223a744a684dc16b52dbe2780e5636b2fecb4c0578fea71591cbc05e78e1
78,	2000 B,	1692688,	Pizigani_1367_Chart_1MB (1).jpg,	a50106a52b122a63de9d16fd3159f22d5abd3783b1ae0900080ccaea51be9d7a
79,	2000 B,	1694688,	Pizigani_1367_Chart_1MB (1).jpg,	ac4c18bc912f9dae104ba41565375d2df9dffc463c93ab0206d3e377fc7c94aa
80,	2000 B,	1696688,	Pizigani_1367_Chart_1MB (1).jpg,	3d6f8dd7c9011e153ce17b5d68bad62a3247e047c79d17eb414a68051ae39ed2
81,	2000 B,	1698688,	Pizigani_1367_Chart_1MB (1).jpg,	393643e869cd46a79dead826d540561f297470fb11f701b3a13861893907533f
82,	2000 B,	1700688,	Pizigani_1367_Chart_1MB (1).jpg,	e92d5d48398aad6e19e2cd2243c0c363bb35caa3fe95ded1d5671f938a45e74e
83,	2000 B,	1702688,	Pizigani_1367_Chart_1MB (1).jpg,	461ffab887b19ef7b8449a4f20b09fbdc5a4aa84ae6c1a101b6151beb102f3b5
84,	2000 B,	1704688,	Pizigani_1367_Chart_1MB (1).jpg,	31707f9413297035ef7a1e6fc166e460a5590cde0b94295d670ae7f1aa0a98be
85,	2000 B,	1706688,	Pizigani_1367_Chart_1MB (1).jpg,	6af228eaf6c6f3126250c0f8878c85b793878ab48c25ef99b755131078cfd2da
86,	2000 B,	1708688,	Pizigani_1367_Chart_1MB (1).jpg,	83e6469d9614e00a10fac699b9ebbf859c6d5789a095283ed45e938ddba8b02e
87,	2000 B,	1710688,	Pizigani_1367_Chart_1MB (1).jpg,	2637c2bb1addca886b8e432c2a59e24717af5755e354927164defdb3e8d8aae8
88,	2000 B,	1712688,	Pizigani_1367_Chart_1MB (1).jpg,	f14189c95d22cc3c9f4d7c6539a726358d281354df438bbbe578242daa7be895
89,	2000 B,	1714688,	Pizigani_1367_Chart_1MB (1).jpg,	72632f93ff0f3519e5df4835c99c570ffdc4a0df2e003302c5f6b6e0dda51ec4
90,	2000 B,	1716688,	Pizigani_1367_Chart_1MB (1).jpg,	0df56a3aa58663b81b6abd28c563984066261cf599d24728f17d08237edca11c
91,	2000 B,	1718688,	Pizigani_1367_Chart_1MB (1).jpg,	d2afc310f72cb5542c7cae52ceec5c9a7f8b7eefaccd6f053f81ac04ea534d4e
92,	2000 B,	1720688,	Pizigani_1367_Chart_1MB (1).jpg,	8029d0291449a859d542b892640a5f5d85bc7365a77cb9f393477ae0a1eab363
93,	2000 B,	1722688,	Pizigani_1367_Chart_1MB (1).jpg,	5cc58ec5446acebfc844f21afec732319007a19890239bcb263b4beccb35c2e5
94,	2000 B,	1724688,	Pizigani_1367_Chart_1MB (1).jpg,	87e65fec9bb292c80075eddf2d5f8d2c07d7bf23ecfcb150fb11fc545494c3f8
95,	2000 B,	1726688,	Pizigani_1367_Chart_1MB (1).jpg,	b0eec6a77f0a393db39e597fd68d158cebcfe870c48b2c7e5adf07e1b5d635e9
96,	2000 B,	1728688,	Pizigani_1367_Chart_1MB (1).jpg,	c2cb1e2e58074a1432a37280435893d277eb014da9a8b9053923d1830648a5db
97,	2000 B,	1730688,	Pizigani_1367_Chart_1MB (1).jpg,	d5831e3b9be815109612e3d016267cf6951426c9027a0c21eece52add1af5099
98,	2000 B,	1732688,	Pizigani_1367_Chart_1MB (1).jpg,	39822cc78c25be2c2dffba8a06b2b5bb7252162e615242ebf023d4969f8202ed
99,	2000 B,	1734688,	Pizigani_1367_Chart_1MB (1).jpg,	e5c55b13a70e08de08b521d742328f5de07cd9be233f135f5ce0b28934cef40b
100,	2000 B,	1736688,	Pizigani_1367_Chart_1MB (1).jpg,	25723dc7c530be1fa6cfd973f4ba002bece0f13bce1bb8bcead338812b3ccb67
101,	2000 B,	1738688,	Pizigani_1367_Chart_1MB (1).jpg,	b55d3c75a8cdab30d8abd521f002841be5a38a807b39abfa400c1f5df1f45a7f
102,	2000 B,	1740688,	Pizigani_1367_Chart_1MB (1).jpg,	9c726d23d51e279b7e74b9ef0fc16cc6227f8e6fff46b019e3eb938ea463fa13
103,	2000 B,	1742688,	Pizigani_1367_Chart_1MB (1).jpg,	1621146fe2335c4f20001312b392a29cf738cdce11ecd1bd56046e56e7805d75
104,	2000 B,	1744688,	Pizigani_1367_Chart_1MB (1).jpg,	44ba14a2c8af4f93f7732bc2705627fb2a69d573d30a5c4befecdbd040654d80
105,	2000 B,	1746688,	Pizigani_1367_Chart_1MB (1).jpg,	7c70a2c8924ff88364849018ec57ffbe6f68d2b52a1d9b1a33db5ddc90c509e0
106,	2000 B,	1748688,	Pizigani_1367_Chart_1MB (1).jpg,	e8f34199f105e0affba77d3c75c26e7f7143e949424b197422344f421cc1a4f3
107,	2000 B,	1750688,	Pizigani_1367_Chart_1MB (1).jpg,	b3f21c8f3d9d5e61bcb08ba5f4928f4ff78d477eae1b7fd34ca2a95e9cfd506f
108,	2000 B,	1752688,	Pizigani_1367_Chart_1MB (1).jpg,	10dd6bb4a33442af0094f9d1e712a62a344d3e1ca90bbc73d0cdbeb911e0a741
109,	2000 B,	1754688,	Pizigani_1367_Chart_1MB (1).jpg,	9fc95ea363a11c0083b84455915f678501a17c875cf335840fe0209945db978e
110,	2000 B,	1756688,	Pizigani_1367_Chart_1MB (1).jpg,	3ac70d7c921b9c09dc521f29157685bb9b40ff04906421bcb893422924625597
111,	2000 B,	1758688,	Pizigani_1367_Chart_1MB (1).jpg,	2cde62392fa1824133857e79d69adf2b177bd6a7a195ab67ef80a556078c6662
112,	2000 B,	1760688,	Pizigani_1367_Chart_1MB (1).jpg,	99d98f00c818beda6c5ed7379e59da36f977acd1a6c738e624b081f70de843ea
